year,rolling_10y_pearson_r
1984,0.9616898819789244
1985,0.9631567989281019
1986,0.9702447774407436
1987,0.9693390666135554
1988,0.9622668757114515
1989,0.9416021512685766
1990,0.8627692572224066
1991,0.6783555693904766
1992,0.8165728299736443
1993,0.8012449676159378
1994,0.7624392562592626
1995,0.6918960632942661
1996,0.5022697910246958
1997,0.5930229116182892
1998,0.7004519869665472
1999,0.5960384482694355
2000,0.4501460455481603
2001,0.8298293592021124
2002,0.9211439444570492
2003,0.7819873157402107
2004,0.7489036907980814
2005,0.7993176343942329
2006,0.8234199494173986
2007,0.827969784059226
2008,0.8267557236359955
2009,0.9319260178671861
2010,0.8462670380193091
2011,0.8869823405229791
2012,0.8834855806086597
2013,0.8956005064566289
2014,0.9004742061830626
2015,0.9146829863049647
2016,0.9273483402172248
2017,0.9247559796058717
2018,0.923115787231774
2019,0.8856142310091102
2020,0.9604618045597307
2021,0.9805977918524156
2022,0.9116170009153198
2023,0.8129888916949968
2024,0.8113330036377888
